Jar Name,SHA-1 Checksum,Preferred GAV Coordinates,Artifact Type,POM Included/Available,Location of Artifact
caGrid-sdkQuery32-core-1.2.0.1.jar,be4cabd4fd5b1a7458f8e1300cc5b98f53b2fd82,<dependency><groupId>cagrid</groupId><artifactId>sdkQuery32</artifactId><version>1.2.0.1</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/cagrid/sdkQuery32/1.2.0.1/caGrid-sdkQuery32-core-1.2.0.1.jar
caGrid-CQL-cql.1.0-1.2.0.1.jar,44c792beb722f999107a0e334c996eb872ecd63e,<dependency><groupId>cagrid</groupId><artifactId>cql</artifactId><version>1.2.0.1</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/cagrid/cql/1.2.0.1/caGrid-CQL-cql.1.0-1.2.0.1.jar
commons-fileupload-1.2.1.jar,fd968960d004ba8863a2e7b9c88f260aa588c22d,<dependency><groupId>jakarta</groupId><artifactId>commons-fileupload</artifactId><version>1.2.1</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/jakarta/commons-fileupload/1.2.1/commons-fileupload-1.2.1.jar
commons-logging-1.1.1.jar,2d859791fbf7d880591864bd4004d8442a8a3b81,<dependency><groupId>jakarta</groupId><artifactId>commons-logging</artifactId><version>1.1.1</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/jakarta/commons-logging/1.1.1/commons-logging-1.1.1.jar
javaee-5.0.jar,673b10baa59aa6d50ac3a7c99bdc577f9c78cd10,<dependency><groupId>javaee</groupId><artifactId>javaee</artifactId><version>5.0</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/javaee/javaee/5.0/javaee-5.0.jar
hibernate-core-3.3.1.GA.jar,940ca0af7ab3f750843d281ea9354a8858f2e0a9,<dependency><groupId>org.hibernate</groupId><artifactId>hibernate-core</artifactId><version>3.3.1.GA</version></dependency>,Jar,N,/Users/asy/work/caArray/svn/trunk/software/ivy-repo.tmp/org.hibernate/hibernate-core/3.3.1.GA/hibernate-core-3.3.1.GA.jar
hibernate-client-3.2.jar,01e434a2422b7fd4e856db8ab6d30d05cce06a7f,<dependency><groupId>org.hibernate</groupId><artifactId>hibernate-client</artifactId><version>3.2</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/org.hibernate/hibernate-client/3.2/hibernate-client-3.2.jar
hibernate-annotations-3.4.0.GA.jar,21466a4a1e4329a750791b06b8d41061673398e8,<dependency><groupId>org.hibernate</groupId><artifactId>hibernate-annotations</artifactId><version>3.4.0.GA</version></dependency>,Jar,N,/Users/asy/work/caArray/svn/trunk/software/ivy-repo.tmp/org.hibernate/hibernate-annotations/3.4.0.GA/hibernate-annotations-3.4.0.GA.jar
hibernate-validator-3.1.0.GA.jar,1f2aca345b6f5a172012b1f2d6873c98ac97789d,<dependency><groupId>org.hibernate</groupId><artifactId>hibernate-validator</artifactId><version>3.1.0.GA</version></dependency>,Jar,N,/Users/asy/work/caArray/svn/trunk/software/ivy-repo.tmp/org.hibernate/hibernate-validator/3.1.0.GA/hibernate-validator-3.1.0.GA.jar
jboss-aop-client-2.1.1.GA.jar,6110a113b4e5a133bd7f5f0f5b948d10732d4085,<dependency><groupId>jboss</groupId><artifactId>jboss-aop-client</artifactId><version>2.1.1.GA</version></dependency>,Jar,N,/Users/asy/work/caArray/svn/trunk/software/ivy-repo.tmp/jboss/jboss-aop-client/2.1.1.GA/jboss-aop-client-2.1.1.GA.jar
