Jar Name,SHA-1 Checksum,Preferred GAV Coordinates,Artifact Type,POM Included/Available,Location of Artifact
atlassian-plugins-osgi-2.6.0.jar,5d5f8badcb6b38212db804544bf11efa51791ed2,<dependency><groupId>com.atlassian.plugins</groupId><artifactId>atlassian-plugins-osgi</artifactId><version>2.6.0</version></dependency>,Jar,N,/Users/asy/work/caArray/svn/trunk/software/ivy-repo.tmp/com.atlassian.plugins/atlassian-plugins-osgi/2.6.0/atlassian-plugins-osgi-2.6.0.jar
atlassian-plugins-osgi-bridge-2.6.0.jar,605a8880e00ecae7814b35284a8ff7c34410331d,<dependency><groupId>com.atlassian.plugins</groupId><artifactId>atlassian-plugins-osgi-bridge</artifactId><version>2.6.0</version></dependency>,Jar,N,/Users/asy/work/caArray/svn/trunk/software/ivy-repo.tmp/com.atlassian.plugins/atlassian-plugins-osgi-bridge/2.6.0/atlassian-plugins-osgi-bridge-2.6.0.jar
atlassian-plugins-osgi-events-2.6.0.jar,f32162ceaaecf03010283577276dba8fab1cc232,<dependency><groupId>com.atlassian.plugins</groupId><artifactId>atlassian-plugins-osgi-events</artifactId><version>2.6.0</version></dependency>,Jar,N,/Users/asy/work/caArray/svn/trunk/software/ivy-repo.tmp/com.atlassian.plugins/atlassian-plugins-osgi-events/2.6.0/atlassian-plugins-osgi-events-2.6.0.jar
atlassian-plugins-osgi-spring-extender-2.6.0.jar,7b6352bddd36478bfab80de2d2901dd6d2b323fc,<dependency><groupId>com.atlassian.plugins</groupId><artifactId>atlassian-plugins-osgi-spring-extender</artifactId><version>2.6.0</version></dependency>,Jar,N,/Users/asy/work/caArray/svn/trunk/software/ivy-repo.tmp/com.atlassian.plugins/atlassian-plugins-osgi-spring-extender/2.6.0/atlassian-plugins-osgi-spring-extender-2.6.0.jar
atlassian-plugins-servlet-2.6.0.jar,838fede644adaa61955226d240f35912ecf1c261,<dependency><groupId>com.atlassian.plugins</groupId><artifactId>atlassian-plugins-servlet</artifactId><version>2.6.0</version></dependency>,Jar,N,/Users/asy/work/caArray/svn/trunk/software/ivy-repo.tmp/com.atlassian.plugins/atlassian-plugins-servlet/2.6.0/atlassian-plugins-servlet-2.6.0.jar
atlassian-plugins-spring-2.6.0.jar,b6551109bd2ee54c065a2a3f7d1e95981cfce0d0,<dependency><groupId>com.atlassian.plugins</groupId><artifactId>atlassian-plugins-spring</artifactId><version>2.6.0</version></dependency>,Jar,N,/Users/asy/work/caArray/svn/trunk/software/ivy-repo.tmp/com.atlassian.plugins/atlassian-plugins-spring/2.6.0/atlassian-plugins-spring-2.6.0.jar
atlassian-plugins-webfragment-2.6.0.jar,789421f190ae8c76fc9c0d354ec536b7c4d75cef,<dependency><groupId>com.atlassian.plugins</groupId><artifactId>atlassian-plugins-webfragment</artifactId><version>2.6.0</version></dependency>,Jar,N,/Users/asy/work/caArray/svn/trunk/software/ivy-repo.tmp/com.atlassian.plugins/atlassian-plugins-webfragment/2.6.0/atlassian-plugins-webfragment-2.6.0.jar
atlassian-plugins-webresource-2.6.0.jar,3bc25f746162aa21e7be51ac265122cc02a3d94a,<dependency><groupId>com.atlassian.plugins</groupId><artifactId>atlassian-plugins-webresource</artifactId><version>2.6.0</version></dependency>,Jar,N,/Users/asy/work/caArray/svn/trunk/software/ivy-repo.tmp/com.atlassian.plugins/atlassian-plugins-webresource/2.6.0/atlassian-plugins-webresource-2.6.0.jar
sal-api-2.2.0.jar,3f598c29612d0b2aed160c500094b0d5272ee859,<dependency><groupId>com.atlassian.sal</groupId><artifactId>sal-api</artifactId><version>2.2.0</version></dependency>,Jar,N,/Users/asy/work/caArray/svn/trunk/software/ivy-repo.tmp/com.atlassian.sal/sal-api/2.2.0/sal-api-2.2.0.jar
package-scanner-0.9.6-SNAPSHOT.jar,ea41c3a30664564aaddba24b5ba32e5632bf9afd,<dependency><groupId>org.twdata</groupId><artifactId>package-scanner</artifactId><version>0.9.6-SNAPSHOT</version></dependency>,Jar,N,/Users/asy/work/caArray/svn/trunk/software/ivy-repo.tmp/org.twdata/package-scanner/0.9.6-SNAPSHOT/package-scanner-0.9.6-SNAPSHOT.jar
velocity-1.4-atlassian-1.jar,4d40c02043456ed18aec6532f37f5c4707744438,<dependency><groupId>org.apache.velocity</groupId><artifactId>velocity</artifactId><version>1.4-atlassian-1</version></dependency>,Jar,N,/Users/asy/work/caArray/svn/trunk/software/ivy-repo.tmp/org.apache.velocity/velocity/1.4-atlassian-1/velocity-1.4-atlassian-1.jar
visualization-datasource-1.0.2.jar,d3a23d7c191ca866f14a028eb42feb77683e9d26,<dependency><groupId>com.google</groupId><artifactId>visualization-datasource</artifactId><version>1.0.2</version></dependency>,Jar,N,/Users/asy/work/caArray/svn/trunk/software/ivy-repo.tmp/com.google/visualization-datasource/1.0.2/visualization-datasource-1.0.2.jar
svnkit-1.3.jar,fef03bb08c3279fe0c6602c536d43021da191889,<dependency><groupId>org.tigris</groupId><artifactId>svnant</artifactId><version>1.3</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/org.tigris/svnant/1.3/svnkit-1.3.jar
cryptix-1.2.jar,ba3ef5139fdad7c127eebc01ef4e61095a57153c,<dependency><groupId>globus</groupId><artifactId>cryptix</artifactId><version>1.2</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/globus/cryptix/1.2/cryptix-1.2.jar
cryptix32-3.2.jar,373e01d66a753ab58185965bb3abe853e0f66f4d,<dependency><groupId>globus</groupId><artifactId>cryptix32</artifactId><version>3.2</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/globus/cryptix32/3.2/cryptix32-3.2.jar
cryptix-asn1-0.1.11.jar,ce6187223532499e04351cce625aaf073bc187fa,<dependency><groupId>globus</groupId><artifactId>cryptix-asn1</artifactId><version>0.1.11</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/globus/cryptix-asn1/0.1.11/cryptix-asn1-0.1.11.jar
stax2-api-3.0.1.jar,949fc43ccaca8ed6ff31b82bf18f560a3c9a3b6e,<dependency><groupId>stax</groupId><artifactId>stax2-api</artifactId><version>3.0.1</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/stax/stax2-api/3.0.1/stax2-api-3.0.1.jar
hamcrest-core-1.1.jar,88d0fc81f09e94aa82d9d3c108f8ca50661507c2,<dependency><groupId>hamcrest</groupId><artifactId>hamcrest-core</artifactId><version>1.1</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/hamcrest/hamcrest-core/1.1/hamcrest-core-1.1.jar
