"","Feiler 4EBP1.txt","Feiler Akt.txt","Feiler AMPK.txt","Feiler b-act man.txt","Feiler b-actin aut.txt","Feiler b-cat.txt","Feiler b-tub.txt","Feiler b3-int.txt","Feiler BRCA1.txt","Feiler c-Abl aut.txt","Feiler c-Abl man.txt","Feiler c-Cbl.txt","Feiler c-Jun.txt","Feiler c-Kit.txt","Feiler c-Myc aut.txt","Feiler c-Myc man.txt","Feiler CDK2 man.txt","Feiler coll Au.txt","Feiler cyclinA.txt","Feiler cyclinB1 aut.txt","Feiler cyclinB1 man.txt","Feiler cyclinD1.txt","Feiler E-cad.txt","Feiler EGFR.txt","Feiler ERalpha.txt","Feiler ERK2.txt","Feiler FKHRL.txt","Feiler GAPDH.txt","Feiler GSK3.txt","Feiler HER2.txt","Feiler HER3.txt","Feiler IRS1.txt","Feiler JNK.txt","Feiler LKB1.txt","Feiler MEK1.txt","Feiler N-cad.txt","Feiler P-AcCoA 79.txt","Feiler P-Akt 308.txt","Feiler P-Akt 473.txt","Feiler P-AMPK 172.txt","Feiler P-c-Jun 73.txt","Feiler P-c-Myc 58 aut.txt","Feiler P-c-Myc 58 man.txt","Feiler P-EGFR 1068.txt","Feiler P-EGFR 992.txt","Feiler P-Elk1 383 aut.txt","Feiler P-Elk1 383 man.txt","Feiler P-FKHRL 318.txt","Feiler P-GSK3 21.txt","Feiler P-HER2 1248 aut.txt","Feiler P-HER2 1248 man.txt","Feiler P-MAPK 202.txt","Feiler P-MEK 217.txt","Feiler P-p38 180.txt","Feiler P-PKCa 567.txt","Feiler P-pRb 807.txt","Feiler P-S6 235.txt","Feiler P-S6 240.txt","Feiler P-Src 416.txt","Feiler P-Src 527 aut.txt","Feiler P-Src 527 man.txt","Feiler P-STAT1 701.txt","Feiler P-STAT3 705.txt","Feiler P-STAT3 727.txt","Feiler P-STAT6 641.txt","Feiler p27.txt","Feiler p38.txt","Feiler p53.txt","Feiler PARP man.txt","Feiler PARP.txt","Feiler PCNA.txt","Feiler PKCa.txt","Feiler PR.txt","Feiler pRb.txt","Feiler PTEN.txt","Feiler S6 man.txt","Feiler Sirt1.txt","Feiler Src aut.txt","Feiler Src man.txt","Feiler STAT3.txt","Feiler survivin.txt"
"sample1.1.1",-3.58976146226526,4.36508592180409,1.12221648508794,-1.77618929901224,8.44890593095658,4.34292276636236,-0.230136157586041,0.591715526782355,1.31063820882772,1.53927893354500,-2.05767670519295,1.64148913839303,-1.27448427585136,-2.96064200141905,0.0605125864244953,-4.88879589565095,0.737909490279954,4.08550322820087,5.96642715410725,-3.6971832377256,0.0486205393717922,0,-2.52430417757102,2.81751557648226,2.76094788564675,0.182270585894484,-0.589797521754461,-0.176519080358001,2.52810388947529,-0.538916484502626,-4.22718305082036,-2.76824117670809,2.25478893519753,1.75837373810067,-1.28531503716044,-2.56869027463576,3.0342610632424,-3.84782907523869,-4.26356781043412,-0.635026862058467,2.07462309943345,-2.86648758685794,-9.52479039065292,-9.49707402190315,-6.4805729047249,6.7947658898912,0.888440589725806,-0.620385373963896,4.45867415841898,3.88282932237881,-4.92340094460176,-4.26904142030494,1.51251702859634,-0.349310327564464,-4.29284814455834,2.47124030077948,1.76283723652829,6.44322847777723,-0.550768888483455,6.54789924863603,2.71256765240876,7.15694054136398,0.674007528362509,-4.39275208982432,-6.90586580620651,2.49072240290693,1.78535026292324,2.65889744968516,-6.935316696162,-3.36442112840878,-2.57979259830217,-1.32720080173066,0.90277469300294,2.02602841275344,-0.94152561390848,-2.49764842988197,-5.80470099826398,2.59871950929330,0.718178711126692,-3.0342723273016,-3.08342055683412
"sample2.1.1",-4.69418430133688,4.64629656375354,0.266309234909492,-1.52299400725384,4.86981371806287,5.04848992376866,-1.46351059841058,-1.47172579637662,1.26970835349514,0.379704592094602,-4.84707398059886,2.64739998870924,-0.0216246709796146,-5.9702094263167,-1.95757769548312,-4.53876520981873,1.6461256613171,6.42923984110707,6.35624024298808,-7.06653778537515,0.308193020761567,-0.422799978001169,-1.61875064108386,1.75433600122291,2.75309528702361,1.24011909615857,-0.458433081154038,0.570517408285731,3.31506449085887,1.42430566002002,-3.29396842720534,-1.52403119631116,2.82911548028525,2.66999667740179,2.12524806635300,-2.41656281391785,-2.01747993831174,-3.26106565775081,1.61263775798808,-5.18989665022245,0.890255866915852,-0.063159809233289,-3.67135098849291,-9.33543063260457,-4.09340909594692,3.8787531346507,1.06368444182575,1.41790929316675,5.32121087500841,2.25988628384870,-1.9438454571569,-3.13087230335835,2.64058748881827,-1.47422842987514,-4.40104892947432,1.15436287507166,-0.171880200349796,5.52711647938614,-0.59845302998516,4.13863346427224,2.92482128075838,2.26120701032754,-1.65148710958079,-6.57680211073542,-4.30253344286072,3.04497287644788,2.47197992054514,3.22181428431032,-6.64648481714516,-6.25946806058013,0,-2.54197940159412,1.63843481064652,-0.000917421967563836,-0.691963448157829,-3.08583541231192,-3.45914590376256,0.855091635404387,2.23445080820864,0.292220948777029,-5.98357119623666
"sample3.1.1",-5.35744087952044,4.35380496958919,-0.0372191428300575,-1.10460017370815,2.43140563779017,4.22579357117535,-1.20899941403112,-2.46757011314419,-1.17350391333193,0.698171847993646,-4.263429531677,2.92157456213647,3.05870602311304,-9.43766578877896,-7.00884963682737,-3.45283825462963,-0.829565137242426,6.09139878423586,8.24450180449561,-12.1817567618221,1.67817629812812,1.50477573707580,-8.45281109714707,3.36565362032997,-3.97102076918952,2.02260278411718,0.266147276125906,5.18875731225158,2.30208958169586,-1.37328466308677,-5.071232088479,4.12469067077189,3.80621944290061,3.49991902700943,3.8820106784423,-2.99546708845890,1.60593853208748,-8.85695970901176,-6.26159097423226,-3.13433158987095,1.40439488329126,0.506782664893365,-3.07311245217755,-11.2875241796188,-2.06349327670617,1.05997648119000,0.775359501818426,2.07717379126642,0.803903319228227,-0.379605658289517,-2.16578510899549,-0.949944904009874,4.61324958674394,-1.63817465333625,4.75314557641265,4.74325496745918,2.63492181293273,4.7065018579435,-0.178457311543667,5.22709091835372,2.86992421079559,-0.288763783498795,-0.62215327304568,-6.77028457132921,-6.77144511911982,3.21068092883889,3.50799305742766,4.56986983259223,-6.22523966985634,-8.71467546752445,0,5.78223357181511,-13.8245453608356,3.94731932795977,-1.76024245760443,-2.25228566134652,-1.56573473369500,-2.56688826151325,1.45293006656662,0.72098496179963,-9.63776009576958
"sample4.1.1",-4.66660046921099,3.27878458451635,-0.61093872183967,-1.52636836554384,1.06031541212010,3.99929235357194,-2.1865407075116,-4.02682224114599,-0.702077373808,1.90261214606461,-2.48912777380454,2.45457003343027,3.36784215513636,-12.5378511393155,-7.04779187675299,-2.70127575207994,-0.303818923380979,9.3924577224619,5.21564399970149,-20.5651138555825,1.96690204376425,0.40759514187148,-8.7110342135591,2.56003671779053,-8.25616974240126,1.30692116902751,1.15848782099490,3.84065857300544,1.86499615058495,-2.32979199111197,-4.39584958599792,6.7917869887906,3.44562808034758,2.97004307351707,3.52680610894725,-2.96790096058395,0.975168723380656,-10.7582279522589,-7.07228063633328,-4.86426862086786,1.50758495780685,2.53755920330221,1.05781652464555,-8.2403853603298,-1.19069081976138,0.193555464313193,0,4.31171415289246,-0.514041344865631,-4.35149401374819,-0.858094663323982,-0.428515816728388,4.20251765008191,-1.75387637707678,3.66634397506369,3.20916820660762,3.62284844345673,1.98350534526283,0.0265877830007204,2.63086734526351,0.517989627643602,-4.27643044714043,-0.769922936978449,-8.23356989440349,-7.251541489863,2.83755276411173,1.75586886198163,4.10668720319629,-6.56682948018531,-9.87102981235658,-1.19096790809273,3.72605227473227,-14.4567821796799,2.96263229803460,-3.63384102256637,0.894296112702576,-0.0112881237900222,-4.82342203143531,2.07802275168219,-0.411484237340356,-9.28398180849385
"sample5.1.2",-2.39656558212647,3.66475362611942,-1.49217138191184,-3.68603987904998,5.09990577091735,2.49972626332410,0.061594552987007,2.63174919379181,2.1970687961766,-0.602346644831414,-2.00298245125392,0.0189973646879459,-0.988868995508146,-11.6038268306552,-0.299797319527564,-3.33328907920652,-0.415659508913603,3.11874608958059,-3.07554484117368,-5.15742260284975,1.70134728486975,1.29462741412679,-6.11861765114819,-0.948731474485062,-5.99092968348731,1.46523785165908,0.0558356628379152,2.31807057889889,0.991788010674322,-2.53843398698693,-7.34887863328503,1.71486905227551,1.40504728888330,2.15977651232599,2.71525351876804,-4.34603928273489,-1.79355841295167,-8.58961205588176,-10.1015625484739,-3.72495922247103,2.99764997493067,0.364223691488357,-3.87238305431587,-10.4548617606060,-3.39998559884963,6.6156412480111,-3.39370635002948,0.990841249002336,0.8195282061038,-1.66916066398935,-7.81560142749365,4.61847779405971,1.10193034084380,-10.1410461585046,5.01378735189177,4.52564102966795,3.58421677067443,2.78301370783245,1.01150519535803,7.9771920843114,0,4.6101783788676,2.21033668628205,-6.95151599814764,-0.973646004929108,1.54424639874009,2.46755073275572,4.38747234741234,-9.18397415741119,-6.48349647081769,-2.44479903803296,2.76319507894992,-12.5075777731958,3.35590512193427,-1.07494707354727,0.956804051897776,-4.84035225186378,-1.40202847526397,-3.84851588921298,0.534289788378958,-6.214956766812
"sample6.1.2",-4.76641230660268,5.1344549683481,-1.46504164536973,-2.95309629597953,4.6322773031047,5.2092995780766,-2.0176020882054,2.47889530263393,1.2764082792681,-1.30785283527116,0.63483675968979,2.81922908330093,-2.97783742298247,-11.8101109837585,-0.674286449132045,-3.43424228256565,1.00114418498592,2.77447601868966,-1.59634245513416,-6.6618465532285,1.23043069388485,0.0433352754784064,-1.27579813033022,-2.13039143237519,3.64054910113896,0.917743359924528,-2.11621701870313,0.166601666667909,3.34040119706903,-0.695970752680445,-4.96232092136303,1.32694454837670,2.25029247942532,1.51679669607356,2.14728936306540,-2.5259547592501,3.60644970110989,-8.64523216464899,-8.04581696233314,0.453907650626624,0.475509427988567,-0.725852815645834,-5.28448316318428,-12.3627828607931,-7.9510106937479,4.04727769760542,0.079500626768131,-0.27847752567652,4.96358516452945,-1.68070311897349,-4.09720531027079,-1.28008155892642,0.0607899523574467,-9.2006363017045,-3.69780702041092,2.97910927135064,2.47395612465528,5.84451642140159,2.17035114604571,5.41171734328741,2.44404670751020,-0.138653354770327,0.216011872417698,-6.96669569482849,-4.41142208921432,2.83828083984087,2.17517708416474,2.81176892615206,-7.05932087717397,-6.98548778286433,0.800702561317183,-3.74384579164872,1.60973275387326,2.27909946113862,-1.12978589041163,0,-5.52634587285906,-1.27882382773184,-1.91405806156019,0.224844559515401,-15.1101198085154
"sample7.1.2",-0.368768036557471,3.83096404999484,-1.63506861249611,-2.09319279900032,2.08541998115113,3.35912779499384,-0.251083425484573,0.684811456217154,0.922864655228903,-2.61789323710472,-2.54108976822264,0.187984280280070,0.715170569205484,-17.4059569570794,-2.60665321070326,-2.4715651127755,-0.0582720228471563,3.80399984188297,-2.33880239813835,-10.4492346852465,2.75220412852962,1.93596288003191,-6.49060358179254,-1.29782498434088,-6.35231708602705,2.62488494733351,-0.626394066839691,4.60414084180888,1.86348174384937,-2.54652972770431,-6.56711198577889,4.45547316559736,2.53244108421181,3.76457062175279,4.76832864381973,-5.14085008844229,-1.94545549154405,-8.9840728439906,-11.3369702720215,-4.77560036453486,1.09936659628456,5.28220748423011,-1.48626373283983,-8.4322995865143,-1.98157285234106,3.2529687779474,-1.81567958752469,3.54057798363189,1.22299985150207,-4.44764106490831,-3.84631814712397,6.12318690101503,3.72547974935895,-9.67789516064214,4.73799225170899,3.92828415172273,3.17105599230269,2.64710218208088,1.73300384195386,7.64834797310431,1.37017513960209,-4.09818955886557,0.0859744964287779,-6.4188873160491,0,2.55274504951161,3.7100993215908,4.89776876875649,-6.6153038094001,-12.8355210009367,0.768816105181383,2.12724761769223,-14.4052522229691,3.45383213299863,-1.9860255752565,0.777158295735964,-1.69997102727724,-5.24566067513162,-3.28339436172153,1.46380891654875,-10.7192007464014
"sample8.1.2",-1.71050944785748,3.71362790204265,-1.25932387227671,-1.01974851861494,2.34927988765976,2.58993166202297,0.360948240494169,0.788281564317494,0.204677367120722,-3.83999987937391,-2.13060879848103,-0.830649284282073,1.23451835483406,-17.6269302358187,-1.99114213079981,-2.93167484161440,0.123344195588847,6.24417437296023,-1.60103342460603,-15.7228359402944,3.05891825803933,0.326868242758481,-7.38042590371765,-1.52546417097391,-6.88886386438794,3.63541914958998,-0.727856301307612,4.80822401843149,2.48288019186049,-2.50184782325498,-4.1786202546081,5.23384744078562,1.88972887987446,3.82619767927357,5.13152974654062,-4.23357519811909,-3.32633562425183,-7.65327166715479,-2.90255947695134,-3.41228769503108,0.263810484239726,7.99801728271869,-0.996463519560067,-7.404528444289,-1.28931648081486,0.528695498279062,-1.2067928445158,4.128689095046,1.67894431621315,-5.18583794204923,-0.98694778535753,-2.39097641931997,3.53422559526838,-9.74449598201501,2.90761413129652,2.18502719378335,0.94304601414702,0,1.85481817557342,7.48063152434146,0.00488339421360307,-9.33132673655411,-2.33574101422168,-6.95374166612939,1.75960926654311,2.62612831480438,4.4730065658624,4.50388223800025,-7.36632169656857,-12.9287320107193,0.861686702306905,1.19322310165402,-13.0894763016666,2.72258742120478,-3.41017118369086,0.240463674748988,0.180646429083728,-4.9841943102097,-2.78402155175149,2.32509438255184,-13.4033549321970
"sample9.1.3",-3.74597789498269,4.33878881541756,0.427456456831461,-1.39143367262464,3.30583710034424,4.2914402129988,-1.12331198051954,4.74426175183665,0.787916827443667,0.189845000614019,-1.12086682722234,2.12176462341946,0.697644169840202,-1.52029330870938,1.46669181344644,-2.98061416785991,0.400888346022797,-0.501424670853538,-1.89268229553716,-7.63698593748632,1.34150689258843,0.5299140211247,-6.6020476247829,-1.11145118000067,-3.48471310888052,2.61508461937634,0.524588138218123,4.84554253265355,1.79609006483536,-0.544290878639865,-6.87290002924299,3.49880583156544,3.02471706770490,1.92400617718382,2.59670391201573,-1.53666499895795,0,-8.35584178615477,-4.99941566178159,-1.25805747744249,1.22646343903919,-5.51706584518932,-7.14664537648745,-8.42756509439765,-2.06811178339863,3.01466963680053,-2.09520721957485,1.30056778819629,1.63138529021595,4.0756137023187,-2.18598039040220,-6.060161986259,2.80390679622539,-8.54990692324245,8.30035902416048,7.67771358661433,5.07554771951131,4.53046827846607,-2.32237152856263,-0.279164373593938,1.95781473546523,7.84379891107754,2.97755217361422,-6.98292840817507,-2.33042493438757,2.23464968158957,2.79931954242385,4.4516942882295,-9.25408406476644,-4.66187638134246,-1.60818762616707,7.87677290156245,-10.4535512031320,6.2006596005088,-0.784057676236347,-0.077369287182945,-6.02293146471548,-0.215716554289557,-3.07033785380002,0.250539510472625,-6.65696637552622
"sample10.1.3",-0.495431305669823,4.77904045690411,0.401663103391323,-0.449304340312429,0.367971566843912,3.4018849500155,0.306922281025735,2.06174604796367,0.302504679596264,-2.07947124454369,-3.31917032942385,1.07982060290733,1.14395598676600,-2.38556845178254,1.38983357037344,-2.82978275193306,0.06078352538555,0.204597995957136,-4.43317931154523,-9.29888013055818,1.21095411618122,0.909857604446515,-6.64095986286115,-0.760116977351706,-3.38972193718129,3.87410495182844,-0.609622288668064,5.42608390028102,2.46975743921633,-1.89620395256192,-8.94157184447772,2.72939349845543,2.2488972831882,2.58211458751586,4.35895622813124,-3.58906200230644,-6.13091745230115,-8.45810094604703,-7.2174837784783,-4.30034091790977,1.03114478274476,-1.79773518402815,-3.95103452870659,-9.7294061922444,-1.99084269518883,1.38530011018698,-3.2537241192095,1.54384580765659,2.78683279914163,0.890119412544804,-3.33792411096836,6.67931467126538,3.5369977448587,-9.81035348157653,6.62005663749462,3.63591634053395,0.819311030022303,4.20647652642955,-3.34728148471982,-1.93699560084708,1.69672761318487,2.8714039533134,-1.12237052862271,-7.08141836587489,-4.55824280392707,2.38101948070194,4.10176777034812,4.25428373595709,-9.64461245857512,-7.31176890424554,-1.90409098907144,4.73777436916661,-11.1438305026332,2.08996045684306,0,-0.898886766037902,-4.55170649890888,-3.02677390304276,-3.56364806989327,0.444841367986603,-9.7888392558527
