"","Feiler 4EBP1.txt","Feiler Akt.txt","Feiler AMPK.txt","Feiler b-act man.txt","Feiler b-actin aut.txt","Feiler b-cat.txt","Feiler b-tub.txt","Feiler b3-int.txt","Feiler BRCA1.txt","Feiler c-Abl aut.txt","Feiler c-Abl man.txt","Feiler c-Cbl.txt","Feiler c-Jun.txt","Feiler c-Kit.txt","Feiler c-Myc aut.txt","Feiler c-Myc man.txt","Feiler CDK2 man.txt","Feiler coll Au.txt","Feiler cyclinA.txt","Feiler cyclinB1 aut.txt","Feiler cyclinB1 man.txt","Feiler cyclinD1.txt","Feiler E-cad.txt","Feiler EGFR.txt","Feiler ERalpha.txt","Feiler ERK2.txt","Feiler FKHRL.txt","Feiler GAPDH.txt","Feiler GSK3.txt","Feiler HER2.txt","Feiler HER3.txt","Feiler IRS1.txt","Feiler JNK.txt","Feiler LKB1.txt","Feiler MEK1.txt","Feiler N-cad.txt","Feiler P-AcCoA 79.txt","Feiler P-Akt 308.txt","Feiler P-Akt 473.txt","Feiler P-AMPK 172.txt","Feiler P-c-Jun 73.txt","Feiler P-c-Myc 58 aut.txt","Feiler P-c-Myc 58 man.txt","Feiler P-EGFR 1068.txt","Feiler P-EGFR 992.txt","Feiler P-Elk1 383 aut.txt","Feiler P-Elk1 383 man.txt","Feiler P-FKHRL 318.txt","Feiler P-GSK3 21.txt","Feiler P-HER2 1248 aut.txt","Feiler P-HER2 1248 man.txt","Feiler P-MAPK 202.txt","Feiler P-MEK 217.txt","Feiler P-p38 180.txt","Feiler P-PKCa 567.txt","Feiler P-pRb 807.txt","Feiler P-S6 235.txt","Feiler P-S6 240.txt","Feiler P-Src 416.txt","Feiler P-Src 527 aut.txt","Feiler P-Src 527 man.txt","Feiler P-STAT1 701.txt","Feiler P-STAT3 705.txt","Feiler P-STAT3 727.txt","Feiler P-STAT6 641.txt","Feiler p27.txt","Feiler p38.txt","Feiler p53.txt","Feiler PARP man.txt","Feiler PARP.txt","Feiler PCNA.txt","Feiler PKCa.txt","Feiler PR.txt","Feiler pRb.txt","Feiler PTEN.txt","Feiler S6 man.txt","Feiler Sirt1.txt","Feiler Src aut.txt","Feiler Src man.txt","Feiler STAT3.txt","Feiler survivin.txt"
"sample1.1.1",-0.789504502005285,0.421099828912642,0.572208060352744,0.8371557097749,0.310785422017405,0.940110428690333,-1.14432678544833,-2.91345961554924,-5.6511802819772,-0.932725288925388,0.228900177281931,0.789781252965817,-27.1317926566599,0.401592505924272,0.803408810520116,-2.69866033142758,0.630004266064788,0.80006863811821,0.458175372099292,0.914037045005244,-0.0352120320661697,0.580265853240368,0.802416840016881,-0.395178940011901,0.72276341999847,-4.53696930145335,0.757984151151108,0.899592195913105,0.88908005496267,0.986432331809014,0.86052214847288,-12.2135123519678,0.58201272093734,0.807226381657703,-0.452699598684477,-0.849670942023938,0.96763240417561,-1.76281465384265,-0.296364125333805,0.891866256062327,-5.55967727025453,-1.33451655351630,-0.423769378603074,0.531011235356273,0.344784215121896,-2.99863519894564,0.833762625656537,0.247181947004611,0.956736034367732,0.349956007391811,0.311827472609508,-0.96480295575667,-2.63883427380515,0.0522366145044121,-0.265062777028429,0.774402017670856,0.307958120490417,0.616015938367478,0.291779253912603,-0.425958047838193,-0.483730603003214,-0.135224653599192,0.671071491848298,-2.86382993378867,-2.61492956659929,0.881672226788719,0.664891457976896,0.512024019397797,0.844488499187282,0.908043133809654,0.675797259469847,0.767450171547754,0.725043293626278,-1.44646376985731,0.616255198159258,-0.570234600706408,-0.116254612441153,0.754250222158257,0.675853437027708,-1.98959087233279,-2.50546052354895
"sample2.1.1",0.753285191602031,-0.0729632849967374,0.941667166369264,0.806494065430823,0.559535979077028,0.166058030741243,0.821865192591037,-1.57703611896494,-1.70733018284391,0.807741600323988,0.165052638864206,-0.249228552291246,0.343831895329603,0.232357827308437,-2.17507217049943,-0.856811122713035,0.324788520277973,0.782374008646126,0.308839114742626,0.737453970106407,0.970659099902743,0.0816922781055478,0.799899204026931,-4.48974340210796,-0.0741473484976407,0.306141603766608,0.61810298359707,0.421388820413571,0.433953713204933,0.933492095797055,0.761507976379435,-9.62409439418271,-0.656385521067361,0.826817993849713,-3.84212798688261,-0.951158369633855,0.258284470160157,-2.70136675483797,0.0137329237447228,0.782831819912777,-0.815294124309498,-0.153690646016324,-2.78681212350370,0.708488019687632,0.657532485848839,-6.95459964789028,0.776750348896278,0.977819550138931,0.0765048915699473,-0.0874471627273374,0.435463893816295,-0.503627712701054,-3.39949957850973,-1.32421679732293,0.862548606488056,-0.195928878348883,-3.26590636855470,-0.0895439237878166,0.541496405628456,0.438135766461662,-2.14717520403983,0.746019556085746,0.000947308776757416,-1.70944027636317,0.626483386535917,-0.311254257943794,0.848292854959136,0.822792060186815,0.773102526731451,0.447360127135441,0.280384671533764,0.218871303838011,0.378879525029162,-3.44424525823603,0.784966398617261,-1.26628194278199,0.460675183542267,0.78452869313469,0.588500563669622,0.110277150778017,0.615706476411297
"sample3.1.1",0.748617472826254,0.963107600628383,0.938749679244564,0.736472665125662,0.553535415785586,0.79775107774484,0.82455151946676,0.196997805608664,-9.94522383210322,-2.05058703819712,0.243275608010535,0.929528783948584,0.974993192262905,0.634707570187784,0.245644438785723,-3.12939373628908,0.598075897448571,0.311937549945621,0.464145571078000,0.594976904684752,0.79611990037254,0.954863414403855,0.947504949256105,-0.151493158661075,0.378549159955873,0.408302215055651,0.833354120035067,0.797806822051803,0.992696855198777,0.812992151023849,0.775920360294408,-5.59722511161159,0.931195737368033,0.865034733742965,-17.3630911727768,-1.47556351445989,0.892474206282875,0.502713922670094,0.0793087490486748,0.766027445087785,0.94643728741671,-1.37073001647108,-1.77743555598435,0.75764298871255,0.92535629497867,-2.08527231107982,0.68244429658295,0.591893059637232,0.913036857170988,0.608378774507154,0.80048413319814,0.923730709755336,0.272897524976799,-2.55091918907187,0.328483398370679,0.832169836313886,0.8189202847192,0.741290368542872,0.597095065890707,-0.159313586999209,-0.503928954397538,0.711174481414935,0.86030862499435,0.694121011786274,-0.0639620090071242,0.950365776878122,0.938083458004799,0.956158511789182,0.550921188239572,0.69128933857519,-0.911118440344898,0.657475544416865,0.824973552337547,0.691840310973588,0.82151471805611,-0.557289136304485,0.168341657473418,0.996012736718306,0.44193627586386,0.56083253886521,0.658440358631835
"sample4.1.1",0.907226074126588,0.947549881478598,0.873931139911416,0.763670467008006,0.370881912666305,0.73109192889643,0.894886313248666,0.405656463466347,0.760767583416533,0.866727201332849,0.896594069115344,0.897868644814815,0.91422985507508,0.58305833491597,0.705263785077981,0.948455728723335,0.933486469395651,-2.89588253529095,0.565811482557509,0.385106061489466,0.859982674829879,0.926667059271489,0.705061033893895,0.930809165144398,0.684883596329361,0.704454665720176,0.898704050483567,0.8993544462852,0.97347610907764,0.65052299694374,0.917153020629268,0.66178623677264,0.87803138165336,0.919298557747184,-25.2825342375825,-1.90647477026256,0.835891345459194,0.493384222324448,0.521351783426811,0.869171034533037,0.889962857606494,-8.92265989103856,-9.46747644816797,0.592215731023107,0.902487361539425,-2.38519106949195,0.838925838684441,0.955731652729257,0.709509042534967,0.829489395873958,0.958911085615047,0.884695783292308,0.00217800830324799,-0.427147317542713,0.928046681965392,0.827994115015081,0.888117858543082,0.79536331539872,0.672396943106579,-2.74095771663217,-0.0669711418560599,0.465057809018401,0.701139210707045,0.948998925197765,0.391280966911705,0.945936946697044,0.874200929165398,0.942334659688366,0.959780078124352,0.681569385387109,-0.222738903362071,0.762870739454762,0.280311587077497,0.88886515446866,0.98878601976218,0.76034178569148,-1.18216618069820,0.745621161802844,0.407235718629580,0.893480341716186,0.789956569191495
"sample5.1.2",0.903523208670059,0.839171774551326,0.9543095315383,0.616235807473996,0.673351626427814,0.920478420659961,-1.16780162439157,0.8906767002786,0.742529965771045,0.762912698132259,-2.85829186237939,0.636626215919398,0.981264621554371,-3.30976074946508,-2.21706206169211,0.670675440760903,0.622920819571251,-0.0298511427855583,0.750940750626351,0.913099044199516,0.987902750744071,0.965925055303576,-0.65047096621428,0.921183073195746,-0.83226565553917,0.98979239391051,0.890330836151301,0.876771108505155,0.933261320578951,0.755739352134398,0.925804333643922,0.872684202109686,0.874009922584745,0.95369614672702,0.604730821843045,-0.725330572298876,0.700519715585307,-5.13272572595803,-0.258794820235111,0.931605296586473,0.713332840201279,0.818443859293949,0.607655095753436,-1.44421422057177,0.905620568075419,0.48670546103834,0.456846535110937,0.982728282634021,0.823323422100745,-0.0374287265350162,-0.0492236585822652,0.894344403624004,0.181130833514191,-0.513088900878972,-2.18345861406166,0.871119062486019,0.692097726209102,0.313761252203435,0.906953870023439,0.606924857377233,0.384924645227016,0.672380041165659,0.740602528946172,0.86420772143303,0.148949328659600,0.96560807117883,0.972414462584765,0.919573490190454,0.61344428897778,0.274086913994553,0.879109810364343,0.770847893006813,0.9113993463864,0.863773509390164,0.490221794608852,0.843691540132023,0.727937993739801,0.7031113108314,0.909888118133143,0.877308882965696,-1.04294202834310
"sample6.1.2",-0.215625263124858,0.43194374791425,0.746702303606509,0.612985468846552,0.76835642915036,-1.28384968631078,-2.90221263670296,0.814879929208818,0.975391878454973,0.898345957373148,-0.97035560698324,-0.0323879072713495,-2.49328045128027,-0.108925160849958,-4.0794598469431,0.944005157243439,0.810323997687556,0.64866032345656,0.640890751287222,0.97677272364922,0.824952425738073,0.90405965115204,0.878816078516562,0.745570761334795,0.504653080566888,0.278993005790534,0.789257882256699,-0.204295716671278,0.805678556058693,0.740258215557899,0.767018881156452,0.732301787801545,0.302699216069426,0.980526401138714,0.935482442449722,-0.45068490485489,0.932245598552434,0.824100181619153,0.0945314740836823,0.851462848980252,0.963199885985311,0.705194596773891,0.576033513640468,-9.77324581002606,0.574978691261027,0.68139773411304,0.856997537927528,0.609987526821156,0.166801013513888,-2.63258329665712,0.403422179062779,-0.558216895086705,-2.70554469708148,-3.19101568909675,0.237108756584568,0.268035996254129,0.472418715135198,0.280107063957191,0.971618327187918,0.405916539958068,0.128448722485686,0.566434235193809,0.768938519839241,0.704750081661418,0.434741595200811,-0.0857492189160263,-0.44189136627975,0.781875406555054,0.93949788428858,0.786575631975083,0.712081801039411,0.209236594551438,0.748107082523221,0.386687649070466,0.640880245141521,0.173936429452979,0.552938802444827,-0.027009549248717,0.727104893008817,0.87891737560017,-2.32732686556066
"sample7.1.2",0.0340118795118250,0.968662391270351,0.865287959101844,-0.323101991025605,0.443929637715057,0.96400923954741,0.860640539560286,-6.56237258638174,0.870322708932614,0.842275982222362,0.47018512569242,0.421201845350855,0.951635316972327,-0.00677990309921528,0.781573649516143,0.768296553567213,0.745589698056444,0.247937443037601,0.667638682923366,0.660752639274814,0.940176676629674,0.923034634274945,-0.37284077853878,0.66565304603662,0.159518741985589,0.991310859012942,0.86672119860883,0.678660907317342,0.96495595229289,0.88574703661064,0.805168937089795,0.684137491504747,0.692022569334702,0.92682952460445,0.935085708042337,0.685351794869677,0.942827196331665,0.519202450795496,-0.170532014166071,0.842836682309026,0.765398786519811,0.821567439432223,0.730295087685439,0.728798808292023,0.712912654212193,0.801922442832052,0.832778912510128,0.914053972437106,0.875840118571034,-1.10733805300692,0.468014653619936,0.797582486537667,0.798236859457852,0.0458794938908562,-0.0948421012240894,0.752046774532718,0.254442839716847,-0.822829185360983,0.846470405391253,0.662102029185175,0.4634774504727,0.744633810634988,0.840371140312373,0.84549548234328,0.855422328037489,0.827744231310604,0.98436789662607,0.924001669112697,0.892002361738788,0.497246209553978,0.841444282738168,0.63985626354761,0.127473198937295,0.928940220845768,0.470399093589674,0.85762936878998,0.750778993717347,-0.0109695167936272,0.843965193646324,0.896329593280287,0.604248257481356
"sample8.1.2",0.687047517178476,0.83430061336146,0.936252699795467,0.156806357881171,0.746020501060953,0.647074357847602,0.728190671776551,-2.18806236026115,0.789587759050365,0.655871011625621,0.514232734221869,0.723441360403412,0.89474133609074,-1.85303398937083,-0.268896386002461,0.80241933496863,0.766695033449901,0.786394465851846,0.57545667115673,-6.40846592156951,0.923801057362815,0.956933030206174,-14.6563259346723,0.673321676376321,-0.322291608361174,0.977853865956315,0.758606849157306,-0.0972926914760908,0.549876953043168,0.760035742320543,0.651611650238309,0.719065233374531,0.117997637336753,0.910709274829393,0.599287791582858,0.70377597066167,0.572163136901668,0.433788134085268,0.0493238629388015,0.98147570384225,0.85824968091201,0.435783240471448,0.739902353745649,0.607127485068402,0.756718330143552,0.691817789280194,0.714144713207619,0.773960829192838,0.836867751251023,0.698018845461017,0.129124668679119,0.864396760421886,0.398508698872937,-1.14578783268656,-0.730472821239588,0.891811455700402,0.500274975007049,0.344340204284964,0.919956764666341,0.860637776601186,0.701453581528944,-0.405312082551764,0.652696426906878,0.585755610483779,0.679330890560953,0.762167040964512,0.969057224409185,0.9606124872813,0.851637165137014,0.094857270489801,0.918743106264157,0.700050402110784,0,0.855588571749034,0.730904297197111,0.744499578800202,0.898425323098201,0.479510362012342,0.712099554380049,0.742855745269035,-0.209027407459061
"sample9.1.3",-0.108341906748133,0.917115705786351,0.956589990535622,0.227607200590297,0.757631753905334,0.847203603544704,0.916128257671384,-2.88757848625259,0.86608832790477,0.941099241120276,0.866971113070575,0.931507206128699,0.975741758419621,-4.43756862835035,0.637311636236164,0.374744085593899,0.253699822013659,0.563714637639088,0.87613493933937,0.417610251618293,-0.379185613580913,0.953336356448825,-9.21576147016448,0.645612413678855,-5.26080094777856,0.734044277653924,0.972323587972509,0.90577206695154,0.999610104932,0.947776342619733,0.957402423367464,0.533394144555352,0.893367579765113,0.855336888491434,-2.46040737221839,0.675819248154321,0.988961993476834,-1.32105142693796,-0.294640057256573,0.909140318102159,0.981826354581567,0.648247352854602,0.748996899206271,0.857383441437342,0.90826056792533,0.694102272109152,0.575081814986323,0.597104949584294,0.914720141348741,-2.63829854639752,0.79424755133607,0.555822150395307,0.962644024845068,0.952145781081644,-1.55294824372765,0.580555708390221,0.70940199659189,0.727789248952384,0.955693394711404,0.903291928118975,0.895165484393925,-4.42983481401040,0.955664031903886,0.535914177729337,0.322860866371114,0.94439623120657,0.460119821091732,0.92989241174244,0.83468447765964,0.86154942611289,0.942621804461803,0.587134384260489,-2.34108094898666,0.807315925638592,0.938848202667229,0.919057351908078,0.816820482569102,0.697685091170477,0.281337249789112,0.746326559856622,-0.104938025151543
"sample10.1.3",0.902679218712397,0.79162295700681,0.597953238180968,0.806588934082083,0.741928605621826,0.338324805469374,0.880591068582088,0.443401285385453,0.920881730597867,0.92329748864227,0.723040485536738,0.0864401520874388,0.934767415708475,-1.59156490122163,0.798696624940233,0.924102862312855,0.690699515145175,-2.34238322398942,0.565201946170151,0.809564386716552,0.601474603986964,0.619736552289031,-4.07197480376518,-0.185515177397573,-49.526395984773,0.929829712818523,0.384903274507869,0.550347728652915,0.644479656218629,0.601762981005476,0.80331592506484,0.598901467689711,-0.484953473569112,0.958481832223995,0.889813301012236,0.449945668975543,0.0753489296941646,-0.00522522842669049,-14.4417278460898,0.78647688071294,0.786708212045483,0.790819490323583,0.721744342586126,-0.433923294351158,0.884746068795285,0.723136812818213,0.297704369999717,0.168966207563837,-0.221992458586453,0.34175936537595,-2.13811302156696,0.436517818061978,0.720760852197257,0.860425479595835,-5.74209993282515,-1.7432420521315,-1.53556788031030,-0.942543828197031,0.760480254543859,0.368425192125890,0.161958223731942,-1.09181236775691,-3.79762754586939,0.939804654520044,0.734741430728632,0.259353885476884,0.826194454864103,0.381211123128175,0.767634212521447,-0.865894300434774,0.744606786423794,-1.26898178405844,-4.76303437674874,-1.12008227292185,0.400585914032606,-0.180897835765457,0.782615411372397,-8.34665997319398,-0.530043590882378,0.832886002518561,0.322285494538995
